Indicator Name,"Indicator Code","Economy Name","Economy Code","2017 [YR2017]"
Expected Years of School,"HD.HCI.EYRS","Gabon","GAB","8.26"
Expected Years of School,"HD.HCI.EYRS","Gambia, The","GMB","8.96"
Expected Years of School,"HD.HCI.EYRS","Georgia","GEO","12.48"
Expected Years of School,"HD.HCI.EYRS","Germany","DEU","13.89"
Expected Years of School,"HD.HCI.EYRS","Ghana","GHA","11.6"
Expected Years of School,"HD.HCI.EYRS","Greece","GRC","12.88"
Expected Years of School,"HD.HCI.EYRS","Guatemala","GTM","9.7"
Expected Years of School,"HD.HCI.EYRS","Guinea","GIN","6.95"
Expected Years of School,"HD.HCI.EYRS","Guyana","GUY","12.08"
Expected Years of School,"HD.HCI.EYRS","Haiti","HTI","11.38"
Expected Years of School,"HD.HCI.EYRS","Honduras","HND","9.98"
Expected Years of School,"HD.HCI.EYRS","Hong Kong SAR, China","HKG","13.43"
Expected Years of School,"HD.HCI.EYRS","Hungary","HUN","13.01"
Expected Years of School,"HD.HCI.EYRS","Iceland","ISL","13.4"
Expected Years of School,"HD.HCI.EYRS","India","IND","10.17"
Expected Years of School,"HD.HCI.EYRS","Indonesia","IDN","12.31"
Expected Years of School,"HD.HCI.EYRS","Iran, Islamic Rep.","IRN","11.68"
Expected Years of School,"HD.HCI.EYRS","Iraq","IRQ","6.89"
Expected Years of School,"HD.HCI.EYRS","Ireland","IRL","13.71"
Expected Years of School,"HD.HCI.EYRS","Israel","ISR","13.76"
Expected Years of School,"HD.HCI.EYRS","Italy","ITA","13.58"
Expected Years of School,"HD.HCI.EYRS","Jamaica","JAM","11.7"
Expected Years of School,"HD.HCI.EYRS","Japan","JPN","13.64"
Expected Years of School,"HD.HCI.EYRS","Jordan","JOR","11.62"
Expected Years of School,"HD.HCI.EYRS","Kazakhstan","KAZ","13.34"
Expected Years of School,"HD.HCI.EYRS","Kenya","KEN","10.7"
Expected Years of School,"HD.HCI.EYRS","Kiribati","KIR","11.57"
Expected Years of School,"HD.HCI.EYRS","Korea, Rep.","KOR","13.58"
Expected Years of School,"HD.HCI.EYRS","Kosovo","XKX","12.85"
Expected Years of School,"HD.HCI.EYRS","Kuwait","KWT","12.44"
Expected Years of School,"HD.HCI.EYRS","Kyrgyz Republic","KGZ","12.56"
Expected Years of School,"HD.HCI.EYRS","Lao PDR","LAO","10.84"
Expected Years of School,"HD.HCI.EYRS","Latvia","LVA","13.28"
Expected Years of School,"HD.HCI.EYRS","Lebanon","LBN","10.54"
Expected Years of School,"HD.HCI.EYRS","Lesotho","LSO","8.74"
Expected Years of School,"HD.HCI.EYRS","Liberia","LBR","4.41"
Expected Years of School,"HD.HCI.EYRS","Lithuania","LTU","13.59"
Expected Years of School,"HD.HCI.EYRS","Luxembourg","LUX","12.4"
Expected Years of School,"HD.HCI.EYRS","Macao SAR, China","MAC","12.61"
Expected Years of School,"HD.HCI.EYRS","Macedonia, FYR","MKD","11.17"
Expected Years of School,"HD.HCI.EYRS","Madagascar","MDG","7.47"
Expected Years of School,"HD.HCI.EYRS","Malawi","MWI","9.37"
Expected Years of School,"HD.HCI.EYRS","Malaysia","MYS","12.16"
Expected Years of School,"HD.HCI.EYRS","Mali","MLI","5.57"
Expected Years of School,"HD.HCI.EYRS","Malta","MLT","13.28"
Expected Years of School,"HD.HCI.EYRS","Mauritania","MRT","6.26"
Expected Years of School,"HD.HCI.EYRS","Mauritius","MUS","12.5"
Expected Years of School,"HD.HCI.EYRS","Mexico","MEX","12.57"
Expected Years of School,"HD.HCI.EYRS","Moldova","MDA","11.78"
Expected Years of School,"HD.HCI.EYRS","Mongolia","MNG","13.59"
Expected Years of School,"HD.HCI.EYRS","Montenegro","MNE","12.36"
Expected Years of School,"HD.HCI.EYRS","Morocco","MAR","10.6"
Expected Years of School,"HD.HCI.EYRS","Mozambique","MOZ","7.44"
Expected Years of School,"HD.HCI.EYRS","Myanmar","MMR","9.85"
Expected Years of School,"HD.HCI.EYRS","Namibia","NAM","8.94"
Expected Years of School,"HD.HCI.EYRS","Nepal","NPL","11.68"
Expected Years of School,"HD.HCI.EYRS","Netherlands","NLD","13.82"
Expected Years of School,"HD.HCI.EYRS","New Zealand","NZL","13.6"
Expected Years of School,"HD.HCI.EYRS","Nicaragua","NIC","11.57"
Expected Years of School,"HD.HCI.EYRS","Niger","NER","5.34"
Expected Years of School,"HD.HCI.EYRS","Nigeria","NGA","8.18"
Expected Years of School,"HD.HCI.EYRS","Norway","NOR","13.7"
Expected Years of School,"HD.HCI.EYRS","Oman","OMN","13.13"
Expected Years of School,"HD.HCI.EYRS","Pakistan","PAK","8.83"
Expected Years of School,"HD.HCI.EYRS","Panama","PAN","11.34"
Expected Years of School,"HD.HCI.EYRS","Papua New Guinea","PNG","8.22"
Expected Years of School,"HD.HCI.EYRS","Paraguay","PRY","11.52"
Expected Years of School,"HD.HCI.EYRS","Peru","PER","12.72"
Expected Years of School,"HD.HCI.EYRS","Philippines","PHL","12.8"
Expected Years of School,"HD.HCI.EYRS","Poland","POL","13.2"
Expected Years of School,"HD.HCI.EYRS","Portugal","PRT","13.78"
Expected Years of School,"HD.HCI.EYRS","Qatar","QAT","12.31"
Expected Years of School,"HD.HCI.EYRS","Romania","ROU","12.17"
Expected Years of School,"HD.HCI.EYRS","Russian Federation","RUS","13.83"
Expected Years of School,"HD.HCI.EYRS","Rwanda","RWA","6.55"
Expected Years of School,"HD.HCI.EYRS","Saudi Arabia","SAU","12.43"
Expected Years of School,"HD.HCI.EYRS","Senegal","SEN","7.25"
Expected Years of School,"HD.HCI.EYRS","Serbia","SRB","13.37"
Expected Years of School,"HD.HCI.EYRS","Seychelles","SYC","13.68"
Expected Years of School,"HD.HCI.EYRS","Sierra Leone","SLE","8.95"
Expected Years of School,"HD.HCI.EYRS","Singapore","SGP","13.89"
Expected Years of School,"HD.HCI.EYRS","Slovak Republic","SVK","12.97"
Expected Years of School,"HD.HCI.EYRS","Slovenia","SVN","13.64"
Expected Years of School,"HD.HCI.EYRS","Solomon Islands","SLB","9.22"
Expected Years of School,"HD.HCI.EYRS","South Africa","ZAF","9.31"
Expected Years of School,"HD.HCI.EYRS","South Sudan","SSD","4.24"
Expected Years of School,"HD.HCI.EYRS","Spain","ESP","13.11"
Expected Years of School,"HD.HCI.EYRS","Sri Lanka","LKA","12.97"
Expected Years of School,"HD.HCI.EYRS","Sudan","SDN","7.28"
Expected Years of School,"HD.HCI.EYRS","Sweden","SWE","13.89"
Expected Years of School,"HD.HCI.EYRS","Switzerland","CHE","13.29"
Expected Years of School,"HD.HCI.EYRS","Tajikistan","TJK","10.79"
Expected Years of School,"HD.HCI.EYRS","Tanzania","TZA","7.76"
Expected Years of School,"HD.HCI.EYRS","Thailand","THA","12.37"
Expected Years of School,"HD.HCI.EYRS","Timor-Leste","TLS","9.86"
Expected Years of School,"HD.HCI.EYRS","Togo","TGO","9.07"
Expected Years of School,"HD.HCI.EYRS","Tonga","TON","10.88"
Expected Years of School,"HD.HCI.EYRS","Trinidad and Tobago","TTO","12.45"
Expected Years of School,"HD.HCI.EYRS","Tunisia","TUN","10.2"
Expected Years of School,"HD.HCI.EYRS","Turkey","TUR","12.12"
Expected Years of School,"HD.HCI.EYRS","Tuvalu","TUV","11.89"
Expected Years of School,"HD.HCI.EYRS","Uganda","UGA","7"
Expected Years of School,"HD.HCI.EYRS","Ukraine","UKR","13.01"
Expected Years of School,"HD.HCI.EYRS","United Arab Emirates","ARE","13.14"
Expected Years of School,"HD.HCI.EYRS","United Kingdom","GBR","13.89"
Expected Years of School,"HD.HCI.EYRS","United States","USA","13.32"
Expected Years of School,"HD.HCI.EYRS","Uruguay","URY","11.78"
Expected Years of School,"HD.HCI.EYRS","Vanuatu","VUT","10.64"
Expected Years of School,"HD.HCI.EYRS","Vietnam","VNM","12.3"
Expected Years of School,"HD.HCI.EYRS","West Bank and Gaza","PSE","11.38"
Expected Years of School,"HD.HCI.EYRS","Yemen, Rep.","YEM","8.03"
Expected Years of School,"HD.HCI.EYRS","Zambia","ZMB","9.15"
Expected Years of School,"HD.HCI.EYRS","Zimbabwe","ZWE","10.01"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Afghanistan","AFG","6.73"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Albania","ALB","12.89"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Algeria","DZA","11.84"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Angola","AGO","7.07"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Argentina","ARG","13.32"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Armenia","ARM","11.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Australia","AUS","13.78"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Austria","AUT","13.79"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Azerbaijan","AZE","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Bahrain","BHR","13.41"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Bangladesh","BGD","11.33"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Belgium","BEL","13.45"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Benin","BEN","8.85"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Bosnia and Herzegovina","BIH","11.78"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Botswana","BWA","8.81"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Brazil","BRA","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Bulgaria","BGR","12.86"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Burkina Faso","BFA","6.44"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Burundi","BDI","7.31"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Cambodia","KHM","9.7"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Cameroon","CMR","8.65"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Canada","CAN","13.66"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Chad","TCD","4.3"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Chile","CHL","12.93"
"Expected Years of School, Female","HD.HCI.EYRS.FE","China","CHN","13.32"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Colombia","COL","12.6"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Comoros","COM","8.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Congo, Dem. Rep.","COD","8.86"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Congo, Rep.","COG","8.97"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Costa Rica","CRI","12.63"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Cote d'Ivoire","CIV","6.55"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Croatia","HRV","13.49"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Cyprus","CYP","13.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Czech Republic","CZE","13.95"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Denmark","DNK","13.52"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Dominican Republic","DOM","11.48"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Ecuador","ECU","13.32"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Egypt, Arab Rep.","EGY","11.23"
"Expected Years of School, Female","HD.HCI.EYRS.FE","El Salvador","SLV","11.4"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Estonia","EST","13.17"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Eswatini","SWZ","8.45"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Ethiopia","ETH","7.56"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Finland","FIN","13.76"
"Expected Years of School, Female","HD.HCI.EYRS.FE","France","FRA","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Gabon","GAB","8.54"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Gambia, The","GMB","9.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Georgia","GEO","12.66"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Germany","DEU","13.79"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Ghana","GHA","11.68"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Greece","GRC","12.74"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Guatemala","GTM","9.62"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Guinea","GIN","6.17"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Guyana","GUY","12.45"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Haiti","HTI","11.45"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Honduras","HND","10.22"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Hong Kong SAR, China","HKG","13.43"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Hungary","HUN","13.03"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Iceland","ISL","13.45"
"Expected Years of School, Female","HD.HCI.EYRS.FE","India","IND","10.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Indonesia","IDN","12.41"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Iran, Islamic Rep.","IRN","11.65"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Iraq","IRQ","7.04"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Ireland","IRL","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Israel","ISR","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Italy","ITA","13.58"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Jamaica","JAM","11.88"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Japan","JPN","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Jordan","JOR","11.81"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kazakhstan","KAZ","13.46"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kenya","KEN","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kiribati","KIR","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Korea, Rep.","KOR","13.61"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kosovo","XKX","12.74"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kuwait","KWT","12.79"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Kyrgyz Republic","KGZ","12.62"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Lao PDR","LAO","10.76"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Latvia","LVA","13.32"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Lebanon","LBN","10.36"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Lesotho","LSO","9.12"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Liberia","LBR","4.44"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Lithuania","LTU","13.63"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Luxembourg","LUX","12.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Macao SAR, China","MAC","12.87"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Macedonia, FYR","MKD","11.09"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Madagascar","MDG","7.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Malawi","MWI","9.39"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Malaysia","MYS","12.39"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mali","MLI","5.11"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Malta","MLT","13.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mauritania","MRT","6.43"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mauritius","MUS","12.82"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mexico","MEX","12.74"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Moldova","MDA","11.78"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mongolia","MNG","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Montenegro","MNE","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Morocco","MAR","10.65"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Mozambique","MOZ","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Myanmar","MMR","9.98"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Namibia","NAM","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Nepal","NPL","11.87"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Netherlands","NLD","13.89"
"Expected Years of School, Female","HD.HCI.EYRS.FE","New Zealand","NZL","13.7"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Nicaragua","NIC","11.92"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Niger","NER","4.87"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Nigeria","NGA","7.64"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Norway","NOR","13.72"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Oman","OMN","13.28"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Pakistan","PAK","8.06"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Panama","PAN","11.48"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Papua New Guinea","PNG","7.79"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Paraguay","PRY","11.46"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Peru","PER","12.82"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Philippines","PHL","13.04"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Poland","POL","13.28"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Portugal","PRT","13.7"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Qatar","QAT","12.83"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Romania","ROU","12.22"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Russian Federation","RUS","13.86"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Rwanda","RWA","6.75"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Saudi Arabia","SAU","12.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Senegal","SEN","7.42"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Serbia","SRB","13.44"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Seychelles","SYC","13.75"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Sierra Leone","SLE","8.91"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Singapore","SGP","13.9"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Slovak Republic","SVK","12.97"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Slovenia","SVN","13.67"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Solomon Islands","SLB","9.07"
"Expected Years of School, Female","HD.HCI.EYRS.FE","South Africa","ZAF","9.27"
"Expected Years of School, Female","HD.HCI.EYRS.FE","South Sudan","SSD","3.55"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Spain","ESP","13.22"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Sri Lanka","LKA","12.98"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Sudan","SDN","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Sweden","SWE","13.88"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Switzerland","CHE","13.26"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Tajikistan","TJK","10.37"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Tanzania","TZA","7.84"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Thailand","THA","12.1"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Timor-Leste","TLS","10.15"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Togo","TGO","8.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Tonga","TON","11.18"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Trinidad and Tobago","TTO","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Tunisia","TUN","10.8"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Turkey","TUR","12.03"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Tuvalu","TUV","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Uganda","UGA","7.01"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Ukraine","UKR","13.1"
"Expected Years of School, Female","HD.HCI.EYRS.FE","United Arab Emirates","ARE","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","United Kingdom","GBR","13.86"
"Expected Years of School, Female","HD.HCI.EYRS.FE","United States","USA","13.36"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Uruguay","URY","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Vanuatu","VUT","10.77"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Vietnam","VNM","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","West Bank and Gaza","PSE","11.57"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Yemen, Rep.","YEM","7.33"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Zambia","ZMB","NA"
"Expected Years of School, Female","HD.HCI.EYRS.FE","Zimbabwe","ZWE","9.99"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Afghanistan","AFG","9.21"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Albania","ALB","13.08"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Algeria","DZA","11.01"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Angola","AGO","8.69"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Argentina","ARG","12.83"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Armenia","ARM","10.92"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Australia","AUS","13.76"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Austria","AUT","13.94"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Azerbaijan","AZE","NA"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Bahrain","BHR","13.16"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Bangladesh","BGD","10.66"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Belgium","BEL","13.37"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Benin","BEN","9.78"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Bosnia and Herzegovina","BIH","11.66"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Botswana","BWA","8.02"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Brazil","BRA","NA"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Bulgaria","BGR","12.98"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Burkina Faso","BFA","6.57"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Burundi","BDI","7.72"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Cambodia","KHM","9.4"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Cameroon","CMR","9.47"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Canada","CAN","13.68"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Chad","TCD","5.6"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Chile","CHL","12.77"
"Expected Years of School, Male","HD.HCI.EYRS.MA","China","CHN","13.19"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Colombia","COL","12.37"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Comoros","COM","8.63"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Congo, Dem. Rep.","COD","9.51"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Congo, Rep.","COG","8.62"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Costa Rica","CRI","12.33"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Cote d'Ivoire","CIV","7.54"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Croatia","HRV","13.15"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Cyprus","CYP","13.48"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Czech Republic","CZE","13.92"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Denmark","DNK","13.37"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Dominican Republic","DOM","11.11"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Ecuador","ECU","13.04"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Egypt, Arab Rep.","EGY","11.03"
"Expected Years of School, Male","HD.HCI.EYRS.MA","El Salvador","SLV","11.22"
"Expected Years of School, Male","HD.HCI.EYRS.MA","Estonia","EST","13.03"
