Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Angola (AGO)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Angola (AGO)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Angola (AGO)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition."
FootNote,"Angola (AGO)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition."
FootNote,"Angola (AGO)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2011. Estimates are adjusted for repetition."
FootNote,"Angola (AGO)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Angola (AGO)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Angola (AGO)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Angola (AGO)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Angola (AGO)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Angola (AGO)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Angola (AGO)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Angola (AGO)","Fraction of Children Under 5 Not Stunted, Female (HD.HCI.STNT.FE)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Angola (AGO)","Fraction of Children Under 5 Not Stunted, Male (HD.HCI.STNT.MA)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Albania (ALB)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Albania (ALB)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Albania (ALB)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Albania (ALB)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Albania (ALB)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Albania (ALB)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Albania (ALB)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Albania (ALB)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2009."
FootNote,"Albania (ALB)","Fraction of Children Under 5 Not Stunted, Female (HD.HCI.STNT.FE)","2017 (YR2017)","Estimates based on data for 2009."
FootNote,"Albania (ALB)","Fraction of Children Under 5 Not Stunted, Male (HD.HCI.STNT.MA)","2017 (YR2017)","Estimates based on data for 2009."
FootNote,"United Arab Emirates (ARE)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"United Arab Emirates (ARE)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"United Arab Emirates (ARE)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"United Arab Emirates (ARE)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"United Arab Emirates (ARE)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"United Arab Emirates (ARE)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"United Arab Emirates (ARE)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"United Arab Emirates (ARE)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"United Arab Emirates (ARE)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"United Arab Emirates (ARE)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Argentina (ARG)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Argentina (ARG)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Argentina (ARG)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Argentina (ARG)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Argentina (ARG)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2013 from the testing program: LLECE. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Argentina (ARG)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Argentina (ARG)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Armenia (ARM)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Armenia (ARM)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Armenia (ARM)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Armenia (ARM)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Armenia (ARM)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2011 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Armenia (ARM)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Armenia (ARM)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Armenia (ARM)","Fraction of Children Under 5 Not Stunted, Female (HD.HCI.STNT.FE)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Armenia (ARM)","Fraction of Children Under 5 Not Stunted, Male (HD.HCI.STNT.MA)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Australia (AUS)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition."
FootNote,"Australia (AUS)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition."
FootNote,"Australia (AUS)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are not adjusted for repetition."
FootNote,"Australia (AUS)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Australia (AUS)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Australia (AUS)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Australia (AUS)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Australia (AUS)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2007."
FootNote,"Austria (AUT)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Austria (AUT)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Austria (AUT)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Austria (AUT)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Austria (AUT)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Austria (AUT)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Austria (AUT)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Austria (AUT)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Austria (AUT)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA+TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Austria (AUT)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Austria (AUT)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Austria (AUT)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Azerbaijan (AZE)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Azerbaijan (AZE)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Azerbaijan (AZE)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: TIMSS/PIRLS. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Azerbaijan (AZE)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Azerbaijan (AZE)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2013."
FootNote,"Burundi (BDI)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition."
FootNote,"Burundi (BDI)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition."
FootNote,"Burundi (BDI)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2010. Estimates are adjusted for repetition."
FootNote,"Burundi (BDI)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burundi (BDI)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burundi (BDI)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burundi (BDI)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burundi (BDI)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Burundi (BDI)","Fraction of Children Under 5 Not Stunted, Female (HD.HCI.STNT.FE)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Burundi (BDI)","Fraction of Children Under 5 Not Stunted, Male (HD.HCI.STNT.MA)","2017 (YR2017)","Estimates based on data for 2016."
FootNote,"Belgium (BEL)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Belgium (BEL)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Belgium (BEL)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Belgium (BEL)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Belgium (BEL)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Belgium (BEL)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2015. Estimates are adjusted for repetition."
FootNote,"Belgium (BEL)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Belgium (BEL)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Belgium (BEL)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2015 from the testing program: PISA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Belgium (BEL)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Belgium (BEL)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Belgium (BEL)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition."
FootNote,"Benin (BEN)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition."
FootNote,"Benin (BEN)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2014. Estimates are adjusted for repetition."
FootNote,"Benin (BEN)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Benin (BEN)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Benin (BEN)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Benin (BEN)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Benin (BEN)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2014."
FootNote,"Benin (BEN)","Fraction of Children Under 5 Not Stunted, Female (HD.HCI.STNT.FE)","2017 (YR2017)","Estimates based on data for 2014."
FootNote,"Benin (BEN)","Fraction of Children Under 5 Not Stunted, Male (HD.HCI.STNT.MA)","2017 (YR2017)","Estimates based on data for 2014."
FootNote,"Burkina Faso (BFA)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burkina Faso (BFA)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burkina Faso (BFA)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burkina Faso (BFA)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Burkina Faso (BFA)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Burkina Faso (BFA)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2016. Estimates are adjusted for repetition."
FootNote,"Burkina Faso (BFA)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burkina Faso (BFA)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burkina Faso (BFA)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2014 from the testing program: PASEC. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Burkina Faso (BFA)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Burkina Faso (BFA)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
